Entry	Entry name	Gene names	Status
P05067	A4_HUMAN	APP A4 AD1	reviewed
P63267	ACTH_HUMAN	ACTG2 ACTA3 ACTL3 ACTSG	reviewed
P62736	ACTA_HUMAN	ACTA2 ACTSA ACTVS GIG46	reviewed
Q9BYX7	ACTBM_HUMAN	POTEKP ACTBL3 FKSG30	reviewed
P68032	ACTC_HUMAN	ACTC1 ACTC	reviewed
P63261	ACTG_HUMAN	ACTG1 ACTG	reviewed
P60709	ACTB_HUMAN	ACTB	reviewed
P68133	ACTS_HUMAN	ACTA1 ACTA	reviewed
Q562R1	ACTBL_HUMAN	ACTBL2	reviewed
Q96Q83	ALKB3_HUMAN	ALKBH3 ABH3 DEPC1	reviewed
P02652	APOA2_HUMAN	APOA2	reviewed
P02647	APOA1_HUMAN	APOA1	reviewed
P02649	APOE_HUMAN	APOE	reviewed
Q5FYB1	ARSI_HUMAN	ARSI	reviewed
P13501	CCL5_HUMAN	CCL5 D17S136E SCYA5	reviewed
P10645	CMGA_HUMAN	CHGA	reviewed
P05813	CRBA1_HUMAN	CRYBA1 CRYB1	reviewed
P02489	CRYAA_HUMAN	CRYAA CRYA1 HSPB4	reviewed
P02511	CRYAB_HUMAN	CRYAB CRYA2 HSPB5	reviewed
P04406	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12	reviewed
Q99497	PARK7_HUMAN	PARK7	reviewed
P05164	PERM_HUMAN	MPO	reviewed
P18031	PTN1_HUMAN	PTPN1 PTP1B	reviewed
P35236	PTN7_HUMAN	PTPN7	reviewed
P09936	UCHL1_HUMAN	UCHL1	reviewed
