Entry	Entry name	Gene names	Status
P31946	1433B_HUMAN	YWHAB	reviewed
P04439	1A03_HUMAN	HLA-A HLAA	reviewed
Q9Y3L3	3BP1_HUMAN	SH3BP1	reviewed
P78314	3BP2_HUMAN	SH3BP2 3BP2 RES4-23	reviewed
P29372	3MG_HUMAN	MPG AAG ANPG MID1	reviewed
P01009	A1AT_HUMAN	SERPINA1 AAT PI PRO0684 PRO2209	reviewed
Q9NRG9	AAAS_HUMAN	AAAS ADRACALA GL003	reviewed
O94929	ABLM3_HUMAN	ABLIM3 KIAA0843 HMFN1661	reviewed
O00763	ACACB_HUMAN	ACACB ACC2 ACCB	reviewed
Q9H845	ACAD9_HUMAN	ACAD9	reviewed
P11310	ACADM_HUMAN	ACADM	reviewed
O00400	ACATN_HUMAN	SLC33A1 ACATN AT1	reviewed
Q5T8D3	ACBD5_HUMAN	ACBD5 KIAA1996	reviewed
Q9BR61	ACBD6_HUMAN	ACBD6	reviewed
P30443	1A01_HUMAN	HLA-A HLAA	reviewed
P01892	1A02_HUMAN	HLA-A HLAA	reviewed
P13746	1A11_HUMAN	HLA-A HLAA	reviewed
P30447	1A23_HUMAN	HLA-A HLAA	reviewed
P18462	1A25_HUMAN	HLA-A HLAA	reviewed
P16190	1A33_HUMAN	HLA-A HLAA	reviewed
P30455	1A36_HUMAN	HLA-A HLAA	reviewed
P30457	1A66_HUMAN	HLA-A HLAA	reviewed
P01891	1A68_HUMAN	HLA-A HLAA	reviewed
Q16537	2A5E_HUMAN	PPP2R5E	reviewed
Q66LE6	2ABD_HUMAN	PPP2R2D KIAA1541	reviewed
Q7L8J4	3BP5L_HUMAN	SH3BP5L KIAA1720 UNQ2766/PRO7133	reviewed
O60239	3BP5_HUMAN	SH3BP5 SAB	reviewed
Q13541	4EBP1_HUMAN	EIF4EBP1	reviewed
O60516	4EBP3_HUMAN	EIF4EBP3	reviewed
P28222	5HT1B_HUMAN	HTR1B HTR1DB	reviewed
P52209	6PGD_HUMAN	PGD PGDH	reviewed
Q676U5	A16L1_HUMAN	ATG16L1 APG16L UNQ9393/PRO34307	reviewed
P05067	A4_HUMAN	APP A4 AD1	reviewed
Q96GX2	A7L3B_HUMAN	ATXN7L3B	reviewed
Q13685	AAMP_HUMAN	AAMP	reviewed
P00505	AATM_HUMAN	GOT2	reviewed
Q9NUQ8	ABCF3_HUMAN	ABCF3	reviewed
P16219	ACADS_HUMAN	ACADS	reviewed
Q8NC06	ACBD4_HUMAN	ACBD4 HMFT0700	reviewed
Q709F0	ACD11_HUMAN	ACAD11	reviewed
P30450	1A26_HUMAN	HLA-A HLAA	reviewed
P16188	1A30_HUMAN	HLA-A HLAA	reviewed
P10314	1A32_HUMAN	HLA-A HLAA	reviewed
P30456	1A43_HUMAN	HLA-A HLAA	reviewed
P10316	1A69_HUMAN	HLA-A HLAA	reviewed
Q13542	4EBP2_HUMAN	EIF4EBP2	reviewed
Q9H0P0	5NT3A_HUMAN	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	reviewed
P49902	5NTC_HUMAN	NT5C2 NT5B NT5CP PNT5	reviewed
P0DMS8	AA3R_HUMAN	ADORA3	reviewed
O43741	AAKB2_HUMAN	PRKAB2	reviewed
Q9UGJ0	AAKG2_HUMAN	PRKAG2	reviewed
Q9BTE6	AASD1_HUMAN	AARSD1	reviewed
Q9NY61	AATF_HUMAN	AATF CHE1 DED HSPC277	reviewed
Q9BZC7	ABCA2_HUMAN	ABCA2 ABC2 KIAA1062	reviewed
Q9P2A4	ABI3_HUMAN	ABI3 NESH	reviewed
Q15027	ACAP1_HUMAN	ACAP1 CENTB1 KIAA0050	reviewed
Q15057	ACAP2_HUMAN	ACAP2 CENTB2 KIAA0041	reviewed
P45954	ACDSB_HUMAN	ACADSB	reviewed
P12821	ACE_HUMAN	ACE DCP DCP1	reviewed
Q9NPB9	ACKR4_HUMAN	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	reviewed
Q9Y614	ACL7B_HUMAN	ACTL7B	reviewed
P62258	1433E_HUMAN	YWHAE	reviewed
Q04917	1433F_HUMAN	YWHAH YWHA1	reviewed
P61981	1433G_HUMAN	YWHAG	reviewed
P28223	5HT2A_HUMAN	HTR2A HTR2	reviewed
P05408	7B2_HUMAN	SCG5 SGNE1	reviewed
