Entry	Entry name	Gene names	Status
O43506	ADA20_HUMAN	ADAM20	reviewed
Q9BZ11	ADA33_HUMAN	ADAM33 C20orf153 UNQ873/PRO1891	reviewed
P10323	ACRO_HUMAN	ACR ACRS	reviewed
O14672	ADA10_HUMAN	ADAM10 KUZ MADM	reviewed
O43184	ADA12_HUMAN	ADAM12 MLTN UNQ346/PRO545	reviewed
P78536	ADA17_HUMAN	ADAM17 CSVP TACE	reviewed
Q9UKQ2	ADA28_HUMAN	ADAM28 ADAM23 MDCL	reviewed
Q13444	ADA15_HUMAN	ADAM15 MDC15	reviewed
Q9UKJ8	ADA21_HUMAN	ADAM21	reviewed
O15204	ADEC1_HUMAN	ADAMDEC1	reviewed
Q9H013	ADA19_HUMAN	ADAM19 MLTNB FKSG34	reviewed
Q9UKF2	ADA30_HUMAN	ADAM30 UNQ2509/PRO5997	reviewed
P28039	AOAH_HUMAN	AOAH	reviewed
Q6HA08	ASTL_HUMAN	ASTL	reviewed
O75173	ATS4_HUMAN	ADAMTS4 KIAA0688 UNQ769/PRO1563	reviewed
Q9UKP5	ATS6_HUMAN	ADAMTS6	reviewed
Q9UP79	ATS8_HUMAN	ADAMTS8 METH2	reviewed
P58397	ATS12_HUMAN	ADAMTS12 UNQ1918/PRO4389	reviewed
O95450	ATS2_HUMAN	ADAMTS2 PCINP PCPNI	reviewed
O15072	ATS3_HUMAN	ADAMTS3 KIAA0366	reviewed
Q9P2N4	ATS9_HUMAN	ADAMTS9 KIAA1312	reviewed
Q9H324	ATS10_HUMAN	ADAMTS10	reviewed
Q76LX8	ATS13_HUMAN	ADAMTS13 C9orf8 UNQ6102/PRO20085	reviewed
Q8TE56	ATS17_HUMAN	ADAMTS17	reviewed
Q8TE59	ATS19_HUMAN	ADAMTS19	reviewed
Q8WXS8	ATS14_HUMAN	ADAMTS14	reviewed
Q8TE57	ATS16_HUMAN	ADAMTS16 KIAA2029	reviewed
Q8TE60	ATS18_HUMAN	ADAMTS18 ADAMTS21	reviewed
P59510	ATS20_HUMAN	ADAMTS20	reviewed
Q9UNA0	ATS5_HUMAN	ADAMTS5 ADAMTS11 ADMP2	reviewed
Q9UKP4	ATS7_HUMAN	ADAMTS7	reviewed
Q8TE58	ATS15_HUMAN	ADAMTS15	reviewed
Q9UHI8	ATS1_HUMAN	ADAMTS1 KIAA1346 METH1	reviewed
P56817	BACE1_HUMAN	BACE1 BACE KIAA1149	reviewed
Q9Y5Z0	BACE2_HUMAN	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	reviewed
P13497	BMP1_HUMAN	BMP1 PCOLC	reviewed
P16278	BGAL_HUMAN	GLB1 ELNR1	reviewed
P42575	CASP2_HUMAN	CASP2 ICH1 NEDD2	reviewed
P55212	CASP6_HUMAN	CASP6 MCH2	reviewed
P08311	CATG_HUMAN	CTSG	reviewed
O60911	CATL2_HUMAN	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	reviewed
P25774	CATS_HUMAN	CTSS	reviewed
P56202	CATW_HUMAN	CTSW	reviewed
Q9UBR2	CATZ_HUMAN	CTSZ	reviewed
P48052	CBPA2_HUMAN	CPA2	reviewed
P29466	CASP1_HUMAN	CASP1 IL1BC IL1BCE	reviewed
Q92851	CASPA_HUMAN	CASP10 MCH4	reviewed
P07339	CATD_HUMAN	CTSD CPSD	reviewed
Q8N4T0	CBPA6_HUMAN	CPA6 CPAH	reviewed
P20160	CAP7_HUMAN	AZU1	reviewed
P49662	CASP4_HUMAN	CASP4 ICH2	reviewed
P43235	CATK_HUMAN	CTSK CTSO CTSO2	reviewed
P07711	CATL1_HUMAN	CTSL CTSL1	reviewed
P43234	CATO_HUMAN	CTSO CTSO1	reviewed
P15086	CBPB1_HUMAN	CPB1 CPB PCPB	reviewed
Q96IY4	CBPB2_HUMAN	CPB2	reviewed
P42574	CASP3_HUMAN	CASP3 CPP32	reviewed
P09668	CATH_HUMAN	CTSH CPSB	reviewed
P16870	CBPE_HUMAN	CPE	reviewed
P55210	CASP7_HUMAN	CASP7 MCH3	reviewed
Q14790	CASP8_HUMAN	CASP8 MCH5	reviewed
P31944	CASPE_HUMAN	CASP14	reviewed
P14091	CATE_HUMAN	CTSE	reviewed
P07858	CATB_HUMAN	CTSB CPSB	reviewed
