Entry	Entry name	Gene names	Status
P02656	APOC3_HUMAN	APOC3	reviewed
P02655	APOC2_HUMAN	APOC2 APC2	reviewed
P06276	CHLE_HUMAN	BCHE CHE1	reviewed
Q9NZW4	DSPP_HUMAN	DSPP	reviewed
P04921	GLPC_HUMAN	GYPC GLPC GPC	reviewed
P02724	GLPA_HUMAN	GYPA GPA	reviewed
P19440	GGT1_HUMAN	GGT1 GGT	reviewed
P15421	GLPE_HUMAN	GYPE GPE	reviewed
P06028	GLPB_HUMAN	GYPB GPB	reviewed
Q92896	GSLG1_HUMAN	GLG1 CFR1 ESL1 MG160	reviewed
Q17R60	IMPG1_HUMAN	IMPG1 IPM150 SPACR	reviewed
P55145	MANF_HUMAN	MANF ARMET ARP	reviewed
P10451	OSTP_HUMAN	SPP1 BNSP OPN PSEC0156	reviewed
Q9NZ53	PDXL2_HUMAN	PODXL2 UNQ1861/PRO3742	reviewed
Q86YL7	PDPN_HUMAN	PDPN GP36 PSEC0003 PSEC0025	reviewed
P40967	PMEL_HUMAN	PMEL D12S53E PMEL17 SILV	reviewed
P21815	SIAL_HUMAN	IBSP BNSP	reviewed
Q14242	SELPL_HUMAN	SELPLG	reviewed
Q0VAQ4	SMAGP_HUMAN	SMAGP	reviewed
Q92752	TENR_HUMAN	TNR	reviewed
