Entry	Entry name	Gene names	Status
P31946	1433B_HUMAN	YWHAB	reviewed
Q9NRG9	AAAS_HUMAN	AAAS ADRACALA GL003	reviewed
Q9NRK6	ABCBA_HUMAN	ABCB10	reviewed
O94929	ABLM3_HUMAN	ABLIM3 KIAA0843 HMFN1661	reviewed
Q9H845	ACAD9_HUMAN	ACAD9	reviewed
P11310	ACADM_HUMAN	ACADM	reviewed
Q5T8D3	ACBD5_HUMAN	ACBD5 KIAA1996	reviewed
Q16537	2A5E_HUMAN	PPP2R5E	reviewed
Q13541	4EBP1_HUMAN	EIF4EBP1	reviewed
Q969T7	5NT3B_HUMAN	NT5C3B NT5C3L	reviewed
P52209	6PGD_HUMAN	PGD PGDH	reviewed
Q9Y312	AAR2_HUMAN	AAR2 C20orf4 CGI-23 PRO0225	reviewed
P00505	AATM_HUMAN	GOT2	reviewed
Q9NUQ8	ABCF3_HUMAN	ABCF3	reviewed
P16219	ACADS_HUMAN	ACADS	reviewed
Q709F0	ACD11_HUMAN	ACAD11	reviewed
Q8N5Z0	AADAT_HUMAN	AADAT KAT2	reviewed
Q9UDR5	AASS_HUMAN	AASS	reviewed
Q9NY61	AATF_HUMAN	AATF CHE1 DED HSPC277	reviewed
P45954	ACDSB_HUMAN	ACADSB	reviewed
P62258	1433E_HUMAN	YWHAE	reviewed
Q04917	1433F_HUMAN	YWHAH YWHA1	reviewed
P61981	1433G_HUMAN	YWHAG	reviewed
P31937	3HIDH_HUMAN	HIBADH	reviewed
Q2M2I8	AAK1_HUMAN	AAK1 KIAA1048	reviewed
O75027	ABCB7_HUMAN	ABCB7 ABC7	reviewed
Q8WTS1	ABHD5_HUMAN	ABHD5 NCIE2 CGI-58	reviewed
Q96IU4	ABHEB_HUMAN	ABHD14B CIB	reviewed
P42684	ABL2_HUMAN	ABL2 ABLL ARG	reviewed
Q9ULW3	ABT1_HUMAN	ABT1	reviewed
Q9UKV3	ACINU_HUMAN	ACIN1 ACINUS KIAA0670	reviewed
Q99798	ACON_HUMAN	ACO2	reviewed
P63104	1433Z_HUMAN	YWHAZ	reviewed
Q15172	2A5A_HUMAN	PPP2R5A	reviewed
Q13362	2A5G_HUMAN	PPP2R5C KIAA0044	reviewed
Q15758	AAAT_HUMAN	SLC1A5 ASCT2 M7V1 RDR RDRC	reviewed
Q8IZP0	ABI1_HUMAN	ABI1 SSH3BP1	reviewed
Q9P1F3	ABRAL_HUMAN	ABRACL C6orf115 HSPC280 PRO2013	reviewed
P07108	ACBP_HUMAN	DBI	reviewed
Q9NUB1	ACS2L_HUMAN	ACSS1 ACAS2L KIAA1846	reviewed
Q9NRA8	4ET_HUMAN	EIF4ENIF1	reviewed
P08195	4F2_HUMAN	SLC3A2 MDU1	reviewed
P00519	ABL1_HUMAN	ABL1 ABL JTK7	reviewed
Q8N9L9	ACOT4_HUMAN	ACOT4 PTE2B PTEIB	reviewed
Q15067	ACOX1_HUMAN	ACOX1 ACOX	reviewed
P13798	ACPH_HUMAN	APEH D3F15S2 D3S48E DNF15S2	reviewed
P12814	ACTN1_HUMAN	ACTN1	reviewed
P35612	ADDB_HUMAN	ADD2 ADDB	reviewed
P30153	2AAA_HUMAN	PPP2R1A	reviewed
O95336	6PGL_HUMAN	PGLS	reviewed
Q13085	ACACA_HUMAN	ACACA ACAC ACC1 ACCA	reviewed
Q9UKU7	ACAD8_HUMAN	ACAD8 ARC42 IBD	reviewed
P28330	ACADL_HUMAN	ACADL	reviewed
P49748	ACADV_HUMAN	ACADVL VLCAD	reviewed
P33121	ACSL1_HUMAN	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	reviewed
P63267	ACTH_HUMAN	ACTG2 ACTA3 ACTL3 ACTSG	reviewed
O00116	ADAS_HUMAN	AGPS AAG5	reviewed
P35611	ADDA_HUMAN	ADD1 ADDA	reviewed
Q8N556	AFAP1_HUMAN	AFAP1 AFAP	reviewed
P27348	1433T_HUMAN	YWHAQ	reviewed
P30154	2AAB_HUMAN	PPP2R1B	reviewed
P63151	2ABA_HUMAN	PPP2R2A	reviewed
P28288	ABCD3_HUMAN	ABCD3 PMP70 PXMP1	reviewed
Q9UG63	ABCF2_HUMAN	ABCF2 HUSSY-18	reviewed
O96019	ACL6A_HUMAN	ACTL6A BAF53 BAF53A INO80K	reviewed
Q9Y305	ACOT9_HUMAN	ACOT9 CGI-16	reviewed
Q68CK6	ACS2B_HUMAN	ACSM2B ACSM2 HYST1046	reviewed
Q53FZ2	ACSM3_HUMAN	ACSM3 SAH	reviewed
Q6NUN0	ACSM5_HUMAN	ACSM5 MACS3	reviewed
P62736	ACTA_HUMAN	ACTA2 ACTSA ACTVS GIG46	reviewed
P07327	ADH1A_HUMAN	ADH1A ADH1	reviewed
P00325	ADH1B_HUMAN	ADH1B ADH2	reviewed
P00326	ADH1G_HUMAN	ADH1C ADH3	reviewed
Q6JQN1	ACD10_HUMAN	ACAD10	reviewed
O94805	ACL6B_HUMAN	ACTL6B ACTL6 BAF53B	reviewed
P53396	ACLY_HUMAN	ACLY	reviewed
Q9NPJ3	ACO13_HUMAN	ACOT13 THEM2 HT012 PNAS-27	reviewed
O14561	ACPM_HUMAN	NDUFAB1	reviewed
Q9NR19	ACSA_HUMAN	ACSS2 ACAS2	reviewed
Q96CM8	ACSF2_HUMAN	ACSF2 UNQ493/PRO1009	reviewed
Q08AH1	ACSM1_HUMAN	ACSM1 BUCS1 LAE MACS1	reviewed
Q9H6R3	ACSS3_HUMAN	ACSS3	reviewed
P63261	ACTG_HUMAN	ACTG1 ACTG	reviewed
P42025	ACTY_HUMAN	ACTR1B CTRN2	reviewed
P61163	ACTZ_HUMAN	ACTR1A CTRN1	reviewed
P00813	ADA_HUMAN	ADA ADA1	reviewed
Q3LIE5	ADPRM_HUMAN	ADPRM C17orf48 MDS006 Nbla03831	reviewed
Q16186	ADRM1_HUMAN	ADRM1 GP110	reviewed
Q9H0C2	ADT4_HUMAN	SLC25A31 AAC4 ANT4 SFEC	reviewed
Q9UHB7	AFF4_HUMAN	AFF4 AF5Q31 MCEF HSPC092	reviewed
O95394	AGM1_HUMAN	PGM3 AGM1	reviewed
Q9H9G7	AGO3_HUMAN	AGO3 EIF2C3	reviewed
P35869	AHR_HUMAN	AHR BHLHE76	reviewed
P00352	AL1A1_HUMAN	ALDH1A1 ALDC ALDH1 PUMB1	reviewed
P49753	ACOT2_HUMAN	ACOT2 PTE2 PTE2A	reviewed
Q08AH3	ACS2A_HUMAN	ACSM2A ACSM2 MACS2	reviewed
