Entry	Entry name	Gene names	Status
Q8IW19	APLF_HUMAN	APLF C2orf13 PALF XIP1	reviewed
O15169	AXIN1_HUMAN	AXIN1 AXIN	reviewed
Q9Y2T1	AXIN2_HUMAN	AXIN2	reviewed
O43684	BUB3_HUMAN	BUB3	reviewed
O15234	CASC3_HUMAN	CASC3 MLN51	reviewed
P49450	CENPA_HUMAN	CENPA	reviewed
P07199	CENPB_HUMAN	CENPB	reviewed
Q96EP1	CHFR_HUMAN	CHFR RNF196	reviewed
Q13363	CTBP1_HUMAN	CTBP1 CTBP	reviewed
P17661	DESM_HUMAN	DES	reviewed
P00367	DHE3_HUMAN	GLUD1 GLUD	reviewed
P59665	DEF1_HUMAN	DEFA1 DEF1 DEFA2 MRS; DEFA1B	reviewed
P49448	DHE4_HUMAN	GLUD2 GLUDP1	reviewed
Q9NZJ5	E2AK3_HUMAN	EIF2AK3 PEK PERK	reviewed
O75460	ERN1_HUMAN	ERN1 IRE1	reviewed
P04406	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12	reviewed
P63096	GNAI1_HUMAN	GNAI1	reviewed
P08754	GNAI3_HUMAN	GNAI3	reviewed
P43220	GLP1R_HUMAN	GLP1R	reviewed
P38405	GNAL_HUMAN	GNAL	reviewed
P09471	GNAO_HUMAN	GNAO1	reviewed
P11488	GNAT1_HUMAN	GNAT1 GNATR	reviewed
P29992	GNA11_HUMAN	GNA11 GA11	reviewed
P50148	GNAQ_HUMAN	GNAQ GAQ	reviewed
O95837	GNA14_HUMAN	GNA14	reviewed
Q9H2G9	GO45_HUMAN	BLZF1 JEM1	reviewed
P30679	GNA15_HUMAN	GNA15 GNA16	reviewed
Q5JWF2	GNAS1_HUMAN	GNAS GNAS1	reviewed
P63092	GNAS2_HUMAN	GNAS GNAS1 GSP	reviewed
P19087	GNAT2_HUMAN	GNAT2 GNATC	reviewed
P04899	GNAI2_HUMAN	GNAI2 GNAI2B	reviewed
P19086	GNAZ_HUMAN	GNAZ	reviewed
P49841	GSK3B_HUMAN	GSK3B	reviewed
A8MVW5	HECA2_HUMAN	HEPACAM2 MIKI UNQ305/PRO346	reviewed
Q14974	IMB1_HUMAN	KPNB1 NTF97	reviewed
Q13683	ITA7_HUMAN	ITGA7 UNQ406/PRO768	reviewed
Q6B0I6	KDM4D_HUMAN	KDM4D JHDM3D JMJD2D	reviewed
P06748	NPM_HUMAN	NPM1 NPM	reviewed
Q14980	NUMA1_HUMAN	NUMA1 NMP22 NUMA	reviewed
Q99572	P2RX7_HUMAN	P2RX7	reviewed
Q9NR21	PAR11_HUMAN	PARP11 C12orf6	reviewed
Q8N5Y8	PAR16_HUMAN	PARP16 ARTD15 C15orf30	reviewed
P09874	PARP1_HUMAN	PARP1 ADPRT PPOL	reviewed
P61224	RAP1B_HUMAN	RAP1B OK/SW-cl.11	reviewed
P15153	RAC2_HUMAN	RAC2	reviewed
P63000	RAC1_HUMAN	RAC1 TC25 MIG5	reviewed
Q92804	RBP56_HUMAN	TAF15 RBP56 TAF2N	reviewed
P08134	RHOC_HUMAN	RHOC ARH9 ARHC	reviewed
P84095	RHOG_HUMAN	RHOG ARHG	reviewed
P62745	RHOB_HUMAN	RHOB ARH6 ARHB	reviewed
P61586	RHOA_HUMAN	RHOA ARH12 ARHA RHO12	reviewed
A6NIZ1	RP1BL_HUMAN		reviewed
O95863	SNAI1_HUMAN	SNAI1 SNAH	reviewed
P84022	SMAD3_HUMAN	SMAD3 MADH3	reviewed
Q9Y5B9	SP16H_HUMAN	SUPT16H FACT140 FACTP140	reviewed
Q05066	SRY_HUMAN	SRY TDF	reviewed
Q9C0C2	TB182_HUMAN	TNKS1BP1 KIAA1741 TAB182	reviewed
P54274	TERF1_HUMAN	TERF1 PIN2 TRBF1 TRF TRF1	reviewed
Q9H2K2	TNKS2_HUMAN	TNKS2 PARP5B TANK2 TNKL	reviewed
O95271	TNKS1_HUMAN	TNKS PARP5A PARPL TIN1 TINF1 TNKS1	reviewed
Q9Y2W1	TR150_HUMAN	THRAP3 TRAP150	reviewed
P25490	TYY1_HUMAN	YY1 INO80S	reviewed
