Entry	Entry name	Gene names	Status
P13760	2B14_HUMAN	HLA-DRB1	reviewed
P20039	2B1B_HUMAN	HLA-DRB1	reviewed
P01911	2B1F_HUMAN	HLA-DRB1 HLA-DRB2	reviewed
Q13541	4EBP1_HUMAN	EIF4EBP1	reviewed
P05067	A4_HUMAN	APP A4 AD1	reviewed
Q29974	2B1G_HUMAN	HLA-DRB1	reviewed
Q9TQE0	2B19_HUMAN	HLA-DRB1	reviewed
Q9UKV3	ACINU_HUMAN	ACIN1 ACINUS KIAA0670	reviewed
Q99798	ACON_HUMAN	ACO2	reviewed
Q30134	2B18_HUMAN	HLA-DRB1	reviewed
Q8NE71	ABCF1_HUMAN	ABCF1 ABC50	reviewed
P08195	4F2_HUMAN	SLC3A2 MDU1	reviewed
P08908	5HT1A_HUMAN	HTR1A ADRB2RL1 ADRBRL1	reviewed
P04229	2B11_HUMAN	HLA-DRB1	reviewed
Q30167	2B1A_HUMAN	HLA-DRB1	reviewed
Q5Y7A7	2B1D_HUMAN	HLA-DRB1	reviewed
P08697	A2AP_HUMAN	SERPINF2 AAP PLI	reviewed
P01023	A2MG_HUMAN	A2M CPAMD5 FWP007	reviewed
P49748	ACADV_HUMAN	ACADVL VLCAD	reviewed
P63267	ACTH_HUMAN	ACTG2 ACTA3 ACTL3 ACTSG	reviewed
Q6IQ32	ADNP2_HUMAN	ADNP2 KIAA0863 ZNF508	reviewed
P01912	2B13_HUMAN	HLA-DRB1	reviewed
Q9GIY3	2B1E_HUMAN	HLA-DRB1	reviewed
P62736	ACTA_HUMAN	ACTA2 ACTSA ACTVS GIG46	reviewed
P68032	ACTC_HUMAN	ACTC1 ACTC	reviewed
O60266	ADCY3_HUMAN	ADCY3 KIAA0511	reviewed
P53396	ACLY_HUMAN	ACLY	reviewed
P63261	ACTG_HUMAN	ACTG1 ACTG	reviewed
Q16186	ADRM1_HUMAN	ADRM1 GP110	reviewed
P42568	AF9_HUMAN	MLLT3 AF9 YEATS3	reviewed
O43707	ACTN4_HUMAN	ACTN4	reviewed
P60709	ACTB_HUMAN	ACTB	reviewed
P68133	ACTS_HUMAN	ACTA1 ACTA	reviewed
Q9H2P0	ADNP_HUMAN	ADNP ADNP1 KIAA0784	reviewed
O95831	AIFM1_HUMAN	AIFM1 AIF PDCD8	reviewed
Q02040	AK17A_HUMAN	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	reviewed
P31749	AKT1_HUMAN	AKT1 PKB RAC	reviewed
A9YTQ3	AHRR_HUMAN	AHRR BHLHE77 KIAA1234	reviewed
Q96K21	ANCHR_HUMAN	ZFYVE19 ANCHR MPFYVE	reviewed
Q8IVF2	AHNK2_HUMAN	AHNAK2 C14orf78 KIAA2019	reviewed
Q09666	AHNK_HUMAN	AHNAK PM227	reviewed
Q12904	AIMP1_HUMAN	AIMP1 EMAP2 SCYE1	reviewed
P07355	ANXA2_HUMAN	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	reviewed
Q92754	AP2C_HUMAN	TFAP2C	reviewed
P55197	AF10_HUMAN	MLLT10 AF10	reviewed
P31751	AKT2_HUMAN	AKT2	reviewed
P04075	ALDOA_HUMAN	ALDOA ALDA	reviewed
O95433	AHSA1_HUMAN	AHSA1 C14orf3 HSPC322	reviewed
Q9Y2D5	AKAP2_HUMAN	AKAP2 KIAA0920 PRKA2	reviewed
Q12955	ANK3_HUMAN	ANK3	reviewed
Q02952	AKA12_HUMAN	AKAP12 AKAP250	reviewed
Q92481	AP2B_HUMAN	TFAP2B	reviewed
Q4VCS5	AMOT_HUMAN	AMOT KIAA1071	reviewed
P10275	ANDR_HUMAN	AR DHTR NR3C4	reviewed
P09525	ANXA4_HUMAN	ANXA4 ANX4	reviewed
P08758	ANXA5_HUMAN	ANXA5 ANX5 ENX2 PP4	reviewed
P05549	AP2A_HUMAN	TFAP2A AP2TF TFAP2	reviewed
Q3SXY8	AR13B_HUMAN	ARL13B ARL2L1	reviewed
Q9NQW6	ANLN_HUMAN	ANLN	reviewed
P04083	ANXA1_HUMAN	ANXA1 ANX1 LPC1	reviewed
Q4LE39	ARI4B_HUMAN	ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180	reviewed
Q14865	ARI5B_HUMAN	ARID5B DESRT MRF2	reviewed
Q9Y2G4	ANKR6_HUMAN	ANKRD6 KIAA0957	reviewed
Q9Y4B4	ARIP4_HUMAN	RAD54L2 ARIP4 KIAA0809	reviewed
P36404	ARL2_HUMAN	ARL2	reviewed
Q99856	ARI3A_HUMAN	ARID3A DRIL1 DRIL3 DRX E2FBP1	reviewed
P29374	ARI4A_HUMAN	ARID4A RBBP1 RBP1	reviewed
P18848	ATF4_HUMAN	ATF4 CREB2 TXREB	reviewed
P17544	ATF7_HUMAN	ATF7 ATFA	reviewed
Q9NR48	ASH1L_HUMAN	ASH1L KIAA1420 KMT2H	reviewed
O94817	ATG12_HUMAN	ATG12 APG12 APG12L	reviewed
Q9NT62	ATG3_HUMAN	ATG3 APG3 APG3L	reviewed
Q8NBU5	ATAD1_HUMAN	ATAD1 FNP001	reviewed
P16615	AT2A2_HUMAN	ATP2A2 ATP2B	reviewed
Q9H1Y0	ATG5_HUMAN	ATG5 APG5L ASP	reviewed
P30049	ATPD_HUMAN	ATP5D	reviewed
Q8WXE1	ATRIP_HUMAN	ATRIP AGS1	reviewed
P46100	ATRX_HUMAN	ATRX RAD54L XH2	reviewed
P54253	ATX1_HUMAN	ATXN1 ATX1 SCA1	reviewed
O95817	BAG3_HUMAN	BAG3 BIS	reviewed
Q8NFC6	BD1L1_HUMAN	BOD1L1 BOD1L FAM44A KIAA1327	reviewed
O15265	ATX7_HUMAN	ATXN7 SCA7	reviewed
O15169	AXIN1_HUMAN	AXIN1 AXIN	reviewed
Q9H6U6	BCAS3_HUMAN	BCAS3	reviewed
Q9UIF9	BAZ2A_HUMAN	BAZ2A KIAA0314 TIP5	reviewed
Q9C0K0	BC11B_HUMAN	BCL11B CTIP2 RIT1	reviewed
P54252	ATX3_HUMAN	ATXN3 ATX3 MJD MJD1 SCA3	reviewed
Q5T5X7	BEND3_HUMAN	BEND3 KIAA1553	reviewed
Q9C0J9	BHE41_HUMAN	BHLHE41 BHLHB3 DEC2 SHARP1	reviewed
Q14692	BMS1_HUMAN	BMS1 BMS1L KIAA0187	reviewed
Q4VC05	BCL7A_HUMAN	BCL7A	reviewed
Q9NYF8	BCLF1_HUMAN	BCLAF1 BTF KIAA0164	reviewed
Q5H9F3	BCORL_HUMAN	BCORL1	reviewed
Q12830	BPTF_HUMAN	BPTF FAC1 FALZ	reviewed
P80723	BASP1_HUMAN	BASP1 NAP22	reviewed
Q9H165	BC11A_HUMAN	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	reviewed
Q9NWK9	BCD1_HUMAN	ZNHIT6 BCD1 C1orf181	reviewed
O00327	BMAL1_HUMAN	ARNTL BHLHE5 BMAL1 MOP3 PASD3	reviewed
P15056	BRAF_HUMAN	BRAF BRAF1 RAFB1	reviewed
Q9UIG0	BAZ1B_HUMAN	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF	reviewed
Q9UIF8	BAZ2B_HUMAN	BAZ2B KIAA1476	reviewed
Q7L4P6	BEND5_HUMAN	BEND5 C1orf165	reviewed
Q13901	C1D_HUMAN	C1D	reviewed
Q99728	BARD1_HUMAN	BARD1	reviewed
P55061	BI1_HUMAN	TMBIM6 BI1 TEGT	reviewed
Q9NPI1	BRD7_HUMAN	BRD7 BP75 CELTIX1	reviewed
