Entry	Entry name	Gene names	Status
P21589	5NTD_HUMAN	NT5E NT5 NTE	reviewed
P22303	ACES_HUMAN	ACHE	reviewed
Q92485	ASM3B_HUMAN	SMPDL3B ASML3B	reviewed
P55290	CAD13_HUMAN	CDH13 CDHH	reviewed
Q10589	BST2_HUMAN	BST2	reviewed
Q10588	BST1_HUMAN	BST1	reviewed
P22748	CAH4_HUMAN	CA4	reviewed
O95971	BY55_HUMAN	CD160 BY55	reviewed
Q6YHK3	CD109_HUMAN	CD109 CPAMD7	reviewed
P13987	CD59_HUMAN	CD59 MIC11 MIN1 MIN2 MIN3 MSK21	reviewed
P31358	CD52_HUMAN	CD52 CDW52 HE5	reviewed
P40199	CEAM6_HUMAN	CEACAM6 NCA	reviewed
P14384	CBPM_HUMAN	CPM	reviewed
Q14002	CEAM7_HUMAN	CEACAM7 CGM2	reviewed
P08571	CD14_HUMAN	CD14	reviewed
P09326	CD48_HUMAN	CD48 BCM1 BLAST1	reviewed
Q8N6Q3	CD177_HUMAN	CD177 NB1 PRV1 UNQ595/PRO1181	reviewed
P25063	CD24_HUMAN	CD24 CD24A	reviewed
P0CG37	CFC1_HUMAN	CFC1	reviewed
P06731	CEAM5_HUMAN	CEACAM5 CEA	reviewed
P31997	CEAM8_HUMAN	CEACAM8 CGM6	reviewed
Q02246	CNTN2_HUMAN	CNTN2 AXT TAG1 TAX1	reviewed
Q9UQ52	CNTN6_HUMAN	CNTN6	reviewed
P26992	CNTFR_HUMAN	CNTFR	reviewed
Q12860	CNTN1_HUMAN	CNTN1	reviewed
Q8IWV2	CNTN4_HUMAN	CNTN4	reviewed
Q9P232	CNTN3_HUMAN	CNTN3 KIAA1496 PANG	reviewed
O94779	CNTN5_HUMAN	CNTN5	reviewed
P08174	DAF_HUMAN	CD55 CR DAF	reviewed
P16444	DPEP1_HUMAN	DPEP1 MDP RDP	reviewed
Q9H4B8	DPEP3_HUMAN	DPEP3 UNQ834/PRO1772	reviewed
Q9H4A9	DPEP2_HUMAN	DPEP2 UNQ284/PRO323	reviewed
P20827	EFNA1_HUMAN	EFNA1 EPLG1 LERK1 TNFAIP4	reviewed
P52798	EFNA4_HUMAN	EFNA4 EPLG4 LERK4	reviewed
P52803	EFNA5_HUMAN	EFNA5 EPLG7 LERK7	reviewed
O43921	EFNA2_HUMAN	EFNA2 EPLG6 LERK6	reviewed
P52797	EFNA3_HUMAN	EFNA3 EFL2 EPLG3 LERK3	reviewed
Q6UWR7	ENPP6_HUMAN	ENPP6 UNQ1889/PRO4334	reviewed
O75015	FCG3B_HUMAN	FCGR3B CD16B FCG3 FCGR3 IGFR3	reviewed
P15328	FOLR1_HUMAN	FOLR1 FOLR	reviewed
P14207	FOLR2_HUMAN	FOLR2	reviewed
P54826	GAS1_HUMAN	GAS1	reviewed
P56159	GFRA1_HUMAN	GFRA1 GDNFRA RETL1 TRNR1	reviewed
O60609	GFRA3_HUMAN	GFRA3 UNQ339/PRO538/PRO3664	reviewed
O00451	GFRA2_HUMAN	GFRA2 GDNFRB RETL2 TRNR2	reviewed
Q9GZZ7	GFRA4_HUMAN	GFRA4	reviewed
P51654	GPC3_HUMAN	GPC3 OCI5	reviewed
Q99445	GML_HUMAN	GML LY6DL	reviewed
Q8N158	GPC2_HUMAN	GPC2	reviewed
O75487	GPC4_HUMAN	GPC4 UNQ474/PRO937	reviewed
P55259	GP2_HUMAN	GP2	reviewed
P35052	GPC1_HUMAN	GPC1	reviewed
Q9Y625	GPC6_HUMAN	GPC6 UNQ369/PRO705	reviewed
P78333	GPC5_HUMAN	GPC5	reviewed
Q8IV16	HDBP1_HUMAN	GPIHBP1 HBP1	reviewed
P38567	HYALP_HUMAN	SPAM1 HYAL3 PH20	reviewed
Q12891	HYAL2_HUMAN	HYAL2 LUCA2	reviewed
