Accession,Symbol,Gene Name,Location,Type,Proteome Profiles,Kinomes,Deep Proteomes,,,,,
IPI00000001,STAU1,"staufen, RNA binding protein, homolog 1 (Drosophila)",Cytoplasm,transporter,TRUE,FALSE,TRUE,,,,,
IPI00000005,NRAS (includes EG:18176),neuroblastoma RAS viral (v-ras) oncogene homolog,Plasma Membrane,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000006,HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,Plasma Membrane,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000013,CTSL2,cathepsin L2,Cytoplasm,peptidase,TRUE,FALSE,FALSE,,,,,
IPI00000015,SRSF4,serine/arginine-rich splicing factor 4,Nucleus,other,FALSE,FALSE,TRUE,,,,,
IPI00000030,PPP2R5D,"protein phosphatase 2, regulatory subunit B', delta",Nucleus,phosphatase,TRUE,FALSE,TRUE,,,,,
IPI00000041,RHOB,ras homolog family member B,Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000049,TNFSF10,"tumor necrosis factor (ligand) superfamily, member 10",Extracellular Space,cytokine,TRUE,FALSE,TRUE,,,,,
IPI00000051,PFDN1,prefoldin subunit 1,Cytoplasm,transcription regulator,TRUE,FALSE,TRUE,,,,,
IPI00000057,COG2 (includes EG:22796),component of oligomeric golgi complex 2,Cytoplasm,transporter,TRUE,TRUE,TRUE,,,,,
IPI00000070,LDLR,low density lipoprotein receptor,Plasma Membrane,transporter,TRUE,FALSE,TRUE,,,,,
IPI00000075,TGFB1,"transforming growth factor, beta 1",Extracellular Space,growth factor,TRUE,FALSE,FALSE,,,,,
IPI00000077,RNASEH1,ribonuclease H1,Nucleus,enzyme,FALSE,FALSE,TRUE,,,,,
IPI00000104,RNGTT,RNA guanylyltransferase and 5'-phosphatase,Nucleus,phosphatase,TRUE,FALSE,TRUE,,,,,
IPI00000105,MVP,major vault protein,Nucleus,other,TRUE,FALSE,TRUE,,,,,
IPI00000115,CNIH4,cornichon homolog 4 (Drosophila),Plasma Membrane,other,TRUE,TRUE,TRUE,,,,,
IPI00000138,MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",Cytoplasm,enzyme,TRUE,FALSE,TRUE,,,,,
IPI00000151,ITGB6,"integrin, beta 6",Plasma Membrane,other,FALSE,TRUE,TRUE,,,,,
IPI00000155,GLYR1,glyoxylate reductase 1 homolog (Arabidopsis),unknown,other,TRUE,FALSE,FALSE,,,,,
