Protein IDs (Uniprot),Gene names,Fasta header,Peptides,Unique peptides,Sequence coverage,Q-value,Rep1 tp = 0h,Rep1 tp = 1h,Rep1 tp = 2h,Rep1 tp = 4h,Rep1 tp = 8h,Rep1 tp = 16h,Rep1 tp = 32h,Rep2 tp = 0h,Rep2 tp = 1h,Rep2 tp = 2h,Rep2 tp = 4h,Rep2 tp = 8h,Rep2 tp = 16h,Rep2 tp = 32h,Rep3 tp = 0h,Rep3 tp = 1h,Rep3 tp = 2h,Rep3 tp = 4h,Rep3 tp = 8h,Rep3 tp = 16h,Rep3 tp = 32h,# data points,1-state-model_kA [h-1],2-state-model_kA [h-1],2-state-model_kB [h-1],2-state-model_ktransfer [h-1],1-state-model_AICp,1-state-model_RSS,2-state-model_AICp,2-state-model_RSS,Half-life (exponential) 1-state-model [h],Half-life (steady state) 2-state-model [h],score,Degradation profile,Abundance after pulse,Validation score
A2A432,Cul4b,>sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1;>tr|E9PXY1|E9PXY1_MOUSE Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=2;>sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus GN=Cul4b;>tr|J3QJX0|J3QJX0_MOUSE Cullin-4B OS=Mus muscu,45,32,48.9,0,100,117.7561132,115.2405046,91.6516913,83.1156591,82.7131068,56.7695111,100,91.7588428,81.5829801,76.7297437,87.3826274,60.4232916,46.9954277,100,94.9480877,95.5170054,87.5539062,78.1399905,64.559481,48.1044622,21,0.022090041,0.238344123,0.021257913,3.298484307,0.927269346,0.010403563,0.072730654,0.010294871,31.37826521,32.6,0.040446941,ED,0.158172955,
A2A4P0,Dhx8,>sp|A2A4P0|DHX8_MOUSE ATP-dependent RNA helicase DHX8 OS=Mus musculus GN=Dhx8 PE=2 SV=1;>tr|A2A4N9|A2A4N9_MOUSE ATP-dependent RNA helicase DHX8 (Fragment) OS=Mus musculus GN=Dhx8 PE=4 SV=3,24,23,25.7,0,,,,,,,,,,,,,,,100,89.7068664,76.9928717,67.4643948,50.1956628,37.8993345,26.2798679,7,0.048356976,0.133204847,0.021061765,0.107103269,0.043857246,0.035061894,0.956142754,0.00024561,14.33396469,28.7,0.048949474,UN,0.013816531,
A2A5K6,Znf335,>sp|A2A5K6|ZN335_MOUSE Zinc finger protein 335 OS=Mus musculus GN=Znf335 PE=1 SV=1,9,9,8.8,0,,,,,,,,,,,,,,,100,80.6630455,65.7396489,37.1673809,24.1881787,,,5,0.192555634,0.272528701,2.13E-06,0.049390746,0.999989549,0.012908232,1.04514E-05,0.002904345,3.599724224,> 300,0.28008564,UN,0.014008685,
A2A5R2,Arfgef2,>sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus GN=Arfgef2 PE=1 SV=1,21,11,15.9,0,,,,,,,,,,,,,,,100,93.0801949,64.2903526,97.7431348,84.2510116,,,5,0.028441123,0.564372533,4.38E-05,1.254221506,0.999997113,0.03228538,0.000002887,0.02033166,24.37130152,> 300,-0.062857543,ED,0.006253542,
A2A6Q5-2,Cdc27,>sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus GN=Cdc27;>sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell division cycle protein 27 homolog OS=Mus musculus GN=Cdc27;>sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 2,21,21,45.8,0,100,,,79.8894106,70.4669083,51.0938041,50.7687867,,,,,,,,100,95.3330176,81.3899902,71.3376457,65.212927,45.6512962,32.6832848,12,0.032916547,0.075215725,0.007868354,0.066117843,0.605253315,0.028154829,0.394746685,0.010806918,21.05771266,81.1,0.086751647,UN,0.047188783,
A2ABV5,Med14,>sp|A2ABV5|MED14_MOUSE Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus GN=Med14 PE=1 SV=1;>tr|A2BDN7|A2BDN7_MOUSE Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus GN=Med14 PE=4 SV=1;>sp|A2ABV5-2|MED14_MOUSE Isof,21,21,22.2,0,,,,,,,,,,,,,,,100,78.1096148,61.0577533,62.6398386,55.5884064,56.7409038,46.6201224,7,0.030248789,0.530092204,0.008246659,0.522206248,0.278102277,0.074653784,0.721897723,0.001764343,22.91487367,83.1,0.174170959,UN,0.003993917,
A2AF47,Dock11,>sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus GN=Dock11 PE=1 SV=1,16,2,10.5,0,,,,,,,,,,,,,,,100,85.6508665,81.3120856,68.7035641,50.421941,,,5,0.088800799,2.435468847,0.077071432,4.874304949,0.999933472,0.001258018,6.65278E-05,6.44E-05,7.805641217,8.9,0.032997275,ED,0.004837821,
A2AG58-2,,>sp|A2AG58-2|CX023_MOUSE Isoform 2 of Uncharacterized protein CXorf23 homolog OS=Mus musculus;>sp|A2AG58|CX023_MOUSE Uncharacterized protein CXorf23 homolog OS=Mus musculus PE=2 SV=1,10,10,20.5,0,,,,,,,,,,,,,,,100,89.5042753,99.1021331,86.8320907,72.764843,,,5,0.038084656,0.175309463,0.037113859,4.948580929,0.999998372,0.002021776,1.62761E-06,0.002013805,18.20016925,18.7,-0.017774725,ED,0.01883208,
A2AH22-2,Ambra1,>sp|A2AH22-2|AMRA1_MOUSE Isoform 2 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus GN=Ambra1;>sp|A2AH22-6|AMRA1_MOUSE Isoform 6 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus GN=Ambra1;>sp|A2AH22,20,20,23.6,0,,,,,,,,,,,,,,,100,97.8901003,75.6162431,60.908573,20.9378308,,,5,0.177322446,0.000315089,0.342482244,0.342186095,0.999986425,0.019319247,1.35753E-05,0.003526242,3.908964684,3.3,-0.286010009,UN,0.020953954,
A2AHC3,Camsap1,>sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus GN=Camsap1 PE=1 SV=1;>tr|A2AHC4|A2AHC4_MOUSE Calmodulin-regulated spectrin-associated protein 1 (Fragment) OS=Mus musculus GN=Camsap1 PE=4 SV=1;>sp|A2AHC3-2|CAMP1_MOU,13,13,13.1,0,,,,,,,,,,,,,,,100,101.9369694,101.5170605,100.51892,90.297818,90.878118,56.2400042,7,0.015160595,2.61E-06,0.044338643,0.044342678,0.972003027,0.00538546,0.027996973,0.001666474,45.72031574,25.8,-0.056204216,ED,0.004730492,
A2AIV2,Kiaa1429;1110037F02Rik,>sp|A2AIV2|VIR_MOUSE Protein virilizer homolog OS=Mus musculus GN=Kiaa1429 PE=1 SV=1;>tr|E9PZY8|E9PZY8_MOUSE Protein 1110037F02Rik OS=Mus musculus GN=1110037F02Rik PE=1 SV=1;>sp|A2AIV2-2|VIR_MOUSE Isoform 2 of Protein virilizer homolog OS=Mus musculus GN=K,22,22,15.5,0,,,,,,,,,,,,,,,100,64.9052164,51.1190849,39.2146831,35.0318884,25.2217163,21.8317652,7,0.062012602,0.52067472,0.018518823,0.219284091,0.110127852,0.225389764,0.889872148,0.002783942,11.17752129,34.4,0.411663321,NED,0.008147767,4
A2AJI0,Map7d1,>sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1;>sp|A2AJI0-2|MA7D1_MOUSE Isoform 2 of MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1;>tr|A8Y5P4|A8Y5P4_MOUSE MAP7 domain-containing protein 1 OS=Mus mus,10,10,19.1,0,,,,,,,,,,,,,,,100,115.9238842,127.8654563,104.179684,90.1177939,64.4669093,33.6774051,7,0.030681692,5.07E-06,0.070378052,0.070299738,0.989079588,0.026717347,0.010920412,0.014299876,22.59155644,16.3,-0.092973212,ED,0.075810883,
A2AN08-3,Ubr4,>sp|A2AN08-3|UBR4_MOUSE Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4;>sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1;>sp|A2AN08-5|UBR4_MOUSE Isoform 5 of E3 ubiquitin-protein ligase UBR4 OS=,104,104,27.3,0,100,79.8666091,91.4835618,61.3016958,59.9719379,53.5964022,58.4327743,100,73.0944942,87.8705066,64.8519926,91.3385645,,,100,92.2331926,84.7546135,73.2155679,66.2224913,44.9844138,40.7061988,19,0.029538522,0.161187213,0.012314793,0.274778293,0.231364644,0.044133062,0.768635356,0.019486869,23.46587236,55.1,0.226987563,UN,0.016576385,
A2APB8,Tpx2,>sp|A2APB8|TPX2_MOUSE Targeting protein for Xklp2 OS=Mus musculus GN=Tpx2 PE=1 SV=1,38,38,47.9,0,100,98.8044304,93.4963918,66.3125794,30.3730036,,,100,83.5921564,92.6112362,,,,,100,82.4052422,89.9478918,49.6614251,25.3620497,,,13,0.147633421,0.017119822,0.293048288,0.283590649,0.762232801,0.018299049,0.237767199,0.009930406,4.695056012,3.8,-0.08551688,UN,0.332660782,
A2AR02,Ppig,>sp|A2AR02|PPIG_MOUSE Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus GN=Ppig PE=2 SV=1,6,6,9.4,0,,,,,,,,,,,,,,,100,98.8904491,91.4551631,84.7560503,80.4261266,103.0040839,93.2082883,7,0.00320233,0.105669482,2.03E-06,0.679048405,0.988259016,0.010676193,0.011740984,0.005479855,216.4508807,> 300,0.056477525,ED,0.081711904,
A2AWA9,Rabgap1,>sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus GN=Rabgap1 PE=1 SV=1;>sp|A2AWA9-2|RBGP1_MOUSE Isoform 2 of Rab GTPase-activating protein 1 OS=Mus musculus GN=Rabgap1;>tr|A2AWA7|A2AWA7_MOUSE Rab GTPase-activating protein 1 (Fragment) ,17,16,20.2,0,,,,,,,,,,,,,,,100,107.7507289,100.6100981,90.7529669,78.3592377,77.0271768,56.7054033,7,0.018008816,2.89E-05,0.018220144,1.851781251,0.996250823,0.003108382,0.003749177,0.003077388,38.48932556,38,-0.02490416,ED,0.027567055,
A2AWP8-3,Arhgef10l,>sp|A2AWP8-3|ARGAL_MOUSE Isoform 3 of Rho guanine nucleotide exchange factor 10-like protein OS=Mus musculus GN=Arhgef10l;>sp|A2AWP8-2|ARGAL_MOUSE Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein OS=Mus musculus GN=Arhgef10l;>sp|A2AWP8-4,15,15,15.9,0,,,,,,,,,,,,,,,100,95.4788183,86.9942833,79.3839894,63.2386873,28.87777,22.0463552,7,0.053606409,0.082945071,1.13E-05,0.016973243,0.974199121,0.027334937,0.025800879,0.008874137,12.93030435,> 300,0.001746531,ED,0.019046452,
