acc	id	pI	weight
A1BG_HUMAN_1	P04217	5.63	51921.66
A2MG_HUMAN_1	P01023	5.98	160809.88
AAAS_HUMAN_1	Q9NRG9	7.35	59442.96
AACS_HUMAN_1	Q86V21	5.86	75144.18
AAGAB_HUMAN_1	Q6PD74	4.50	34593.62
AAK1_HUMAN_1	Q2M2I8	6.16	103884.96
AAMP_HUMAN_1	Q13685	4.29	46750.91
SYAC_HUMAN_1	P49588	5.34	106810.44
SYAM_HUMAN_1	Q5JTZ9	5.55	104764.31
AASD1_HUMAN_1	Q9BTE6	5.99	45479.55
ADPPT_HUMAN_1	Q9NRN7	6.35	35775.95
AASS_HUMAN_1	Q9UDR5	5.92	98614.61
AATF_HUMAN_1	Q9NY61	4.82	63001.75
GABT_HUMAN_1	P80404	7.19	53270.13
ABCA1_HUMAN_1	O95477	6.43	254302.10
ABCBA_HUMAN_1	Q9NRK6	9.51	68334.02
ABCB6_HUMAN_1	Q9NP58	8.75	93885.56
ABCB7_HUMAN_1	O75027	9.25	80114.30
ABCB8_HUMAN_1	Q9NUT2	8.84	73720.62
MRP1_HUMAN_1	P33527	6.71	171591.18
MRP7_HUMAN_1	Q5T3U5	6.64	161629.25
MRP3_HUMAN_1	O15438	6.79	169342.87
MRP4_HUMAN_1	O15439	8.41	149526.77
ABCD1_HUMAN_1	P33897	9.09	82936.93
ABCD3_HUMAN_1	P28288	9.41	75344.73
ABCE1_HUMAN_1	P61221	8.63	67314.34
ABCF1_HUMAN_1	Q8NE71	6.40	95925.75
ABCF2_HUMAN_1	Q9UG63	6.95	71290.27
ABCF3_HUMAN_1	Q9NUQ8	5.96	79613.48
ABHDA_HUMAN_1	Q9NUJ1	6.29	28203.62
ABHDB_HUMAN_1	Q8NFV4	9.50	34689.95
ABD12_HUMAN_1	Q8N2K0	8.87	45096.76
ABHEB_HUMAN_1	Q96IU4	5.95	22214.48
ABHGA_HUMAN_1	O95870	8.40	63112.15
ABI1_HUMAN_1	Q8IZP0	6.61	54949.65
ABI2_HUMAN_1	Q9NYB9	5.81	55663.24
ABI3_HUMAN_1	Q9P2A4	4.99	39035.31
TARSH_HUMAN_1	Q7Z7G0	9.49	115862.57
ABLM1_HUMAN_1	O14639	8.91	87687.53
ABR_HUMAN_1	Q12979	6.12	97597.84
ABT1_HUMAN_1	Q9ULW3	9.87	31078.95
